"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R302,R301,R701,R702,R703,R704,R705,R706,R707,R708,R709,R820,R821,R710";"SMD-0402";14;"22R";;;
2;"R303";"SMD-0402";1;"120R";;;
3;"U201";"MT7620N";1;"MT7620N";;;
4;"C505,C502,C503,C504";"SMD-0402";4;"2.2pF";;;
5;"C705,C204,C205,C206,C207,C209,C210,C212,C213,C214,C220,C222,C224,C225,C227,C234,C303,C304,C401,C627,C701,C703,C706,C707,C710,C803,C804,C805,C806,C807,C809,C811,C813,C305,C307,C308,C309,C310,C815,C817,C219,C607,C614,C619,C623,C814";"SMD-0402";46;"100nF";;;
6;"AE501,AE502";"ANTENNA-SMT-2.45GHz";2;"ANTENNA";;;
7;"AE503,AE504";"1909763-1";2;"UFL";;;
8;"C203,C215,C216,C218,C626";"SMD-0402";5;"1uF";;;
9;"C221,C229,C231,C233,C702,C704,C226";"SMD-0402";7;"10pF";;;
10;"C301,C302";"SMD-0402";2;"5pF";;;
11;"C501,C506,C507,C508,C509";"SMD-0402";5;"100pF";;;
12;"C510,C511";"SMD-0402";2;"0.8pF";;;
13;"C512,C513,C514,C515";"SMD-0402";4;"1.8pF";;;
14;"C601,C610,C625,C628,C201,C208,C211,C217,C608";"SMD-0805";9;"10uF DNP";;;
15;"C602,C306,C228,C612,C616";"SMD-0402";5;"10nF";;;
16;"C604,C609,C621,C622,C624,C708,C709,C808,C810,C812,C223,C605,C606,C611,C816";"SMD-0805";15;"10uF";;;
17;"C801,C802";"SMD-0402";2;"8pF";;;
18;"D801,D809,D803,D807,D810";"SOT-23";5;"TVS-2";;;
19;"J801";"MICRO-USB-10104111";1;"USB-MICRO-B";;;
20;"J802";"Pin_Header_Straight_1x07";1;"CONN_01X07";;;
21;"J804,J805";"Pin_Header_Straight_2x01";2;"CONN_02X01";;;
22;"J806,J807,J808";"Pin_Header_Straight_1x02";3;"CONN_01X02";;;
23;"J812";"KUSBEX-ASFS2N-B";1;"CONN_01X08";;;
24;"J813,J810";"MODULE_HEADER_TESSEL";2;"MODULE_HEADER";;;
25;"L201,L202";"SMD-0402";2;"3.9nH";;;
26;"L203,L204";"SMD-0402";2;"3.0nH";;;
27;"L501,L502,L503,L504";"SMD-0402";4;"3nH";;;
28;"L505,L506";"SMD-0402";2;"2.4nH";;;
29;"L701";"SMD-0603";1;"10uH";;;
30;"L801,L802,L803,L804";"SMD-0805";4;"BLM21PG221SN1D";;;
31;"Q601";"SOT-23";1;"MMSS8550";;;
32;"R201,R502,R506,R802,R803,R804,R806,R807,R809,R810,R401,R404,R402,R204";"SMD-0402";14;"4.7kR";;;
33;"R202";"SMD-0402";1;"100R";;;
34;"R203,R605,R606,R609,R616,R617,R824";"SMD-0402";7;"1kR";;;
35;"R304,R305,R504";"SMD-0402";3;"4.7kR 1%";;;
36;"R501";"SMD-0402";1;"24kR 1%";;;
37;"R503,R811,R812,R813,R814,R822,R823";"SMD-0402";7;"300R";;;
38;"R505";"SMD-0402";1;"4.7kR DNP";;;
39;"R507,R508,R509,R510";"SMD-0402";4;"0R DNP";;;
40;"R601,R602";"SMD-0402";2;"100kR";;;
41;"R603,R604";"SMD-0402";2;"33kR";;;
42;"R607,R612";"SMD-0402";2;"450kR 1%";;;
43;"R608,R613,R615";"SMD-0402";3;"100kR 1%";;;
44;"R610,R611,R805,R403";"SMD-0402";4;"10kR";;;
45;"R614";"SMD-0402";1;"200kR 1%";;;
46;"R801";"SMD-0402";1;"8.2kR 1%";;;
47;"R808";"SMD-0402";1;"649R 1%";;;
48;"U801,U803";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"AP2192ASG-13";;;
49;"X201";"CTS-425";1;"20MHz";;;
50;"X701";"SC-32S";1;"SC32S-12.5PF20PPM";;;
51;"J803,J817";"Pin_Header_Straight_1x01";2;"CONN_01X01";;;
52;"J815,J814";"CONN_02x05_0.05in";2;"CONN_02X05";;;
53;"U401";"WNG008";1;"S25FL256SAGNFI001";;;
54;"U603,U604";"SOT-23-5";2;"AP3417C";;;
55;"C603,C202,C230,C232,C239,C240,C613,C615,C617,C620";"SMD-0603";10;"4.7uF";;;
56;"J818";"Pin_Header_Straight_1x01";1;"CONN_01X08";;;
57;"R815,R816,R817,R818";"SMD-0402";4;"49.9R 1%";;;
58;"U301";"WBGA-84";1;"W9751G6KB-25";;;
59;"J401,J402,J501,J502";"Testpoint";4;"CONN_01X01";;;
60;"R819";"SMD-0402";1;"6.19kR 1%";;;
61;"U802";"CY7C65634-48AXCT";1;"CY7C65632";;;
62;"X801";"NX5032GA-12.000000MHZ-LN-CD-1";1;"12MHz";;;
63;"AE505,AE506";"2.4GHz-INVERTED-F-ANTENNA";2;"ANTENNA";;;
64;"C235,C236,C237,C238";"SMD-0402";4;"3.9pF";;;
65;"C618";"c_elec_4x4.5";1;"100uF DNP";;;
66;"D201";"LED-0603";1;"RED";;;
67;"D401";"LED-0603";1;"BLUE";;;
68;"D501";"LED-0603";1;"AMBER";;;
69;"D601,D602,D603,D604,D605";"LED-0603";5;"Green";;;
70;"D802,D804,D805,D806,D808";"LED-0603";5;"GREEN";;;
71;"D811";"LED-0603";1;"WHITE";;;
72;"J601";"Pin_Header_Straight_2x08";1;"CONN_02X08";;;
73;"J602";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
74;"J809,J811";"KUSBEX-ASFS2N-B";2;"USB_A_2_stack";;;
75;"J816";"RB1-125BAG1A";1;"RJ45_LEDs";;;
76;"L601,L602,L603";"SWPA5020S";3;"2.2uH";;;
77;"T501,T502";"EIA-0805";2;"2450BL15B100";;;
78;"U601,U602";"SOT-23-5";2;"AAT4610";;;
79;"U605";"SOT-23-5";1;"AP3418";;;
80;"U701";"QFN-48-1EP";1;"SAMD21G14A-MU";;;
